word	zh	image	icon
comfortable	舒适	https://thumb.wikimedia.org/wikipedia/commons/thumb/1/12/This_dog_is_%22comfy%22-_2013-12-27_10-51.jpg/250px-This_dog_is_%22comfy%22-_2013-12-27_10-51.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/5775/5775274.png
command	命令	https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f1/Sleeve_patch_of_the_Moscow_Higher_Military_Command_School.png/250px-Sleeve_patch_of_the_Moscow_Higher_Military_Command_School.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/13479/13479161.png
commands	命令	https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6a/Di-A_carmella-commands-ball.png/250px-Di-A_carmella-commands-ball.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://www.shareicon.net/data/128x128/2015/08/30/92996_console_512x512.png
comment	评论	https://upload.wikimedia.org/wikipedia/commons/e/ed/Comment_add.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	https://cdn-icons-png.flaticon.com/128/1380/1380338.png
comments	评论	https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ac/Localize_Comments-before.png/250px-Localize_Comments-before.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/2190/2190552.png
commission	佣金	https://thumb.wikimedia.org/wikipedia/commons/thumb/7/79/Commission_Mill%2C_Stokesby.jpg/250px-Commission_Mill%2C_Stokesby.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts4.mm.bing.net/th?id=OIP.6KZ-e_nR0aFoTWjsRPKMJQAAAA&pid=15.1
commit	提交	https://thumb.wikimedia.org/wikipedia/commons/thumb/2/23/Commit_no_Nuisance_-_geograph.org.uk_-_589440.jpg/250px-Commit_no_Nuisance_-_geograph.org.uk_-_589440.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts1.mm.bing.net/th?id=OIP.VRqALLPFlfUTejc34k8qmgAAAA&pid=15.1
commitments	承诺	https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f3/Signing_service_commitments_%285053030077%29.jpg/250px-Signing_service_commitments_%285053030077%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/7178/7178931.png
commits	提交	https://thumb.wikimedia.org/wikipedia/commons/thumb/6/69/Top_30_Domains_by_Commits_to_the_Linux_Kernel.jpg/250px-Top_30_Domains_by_Commits_to_the_Linux_Kernel.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts3.mm.bing.net/th?id=OIP.kmEWk_6fvhfQnBhHVfG_ZwAAAA&pid=15.1
committed	已承诺	https://upload.wikimedia.org/wikipedia/commons/6/62/Ray_Brown_Jr_-_Committed_From_The_Heart.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	https://cdn-icons-png.flaticon.com/128/7178/7178931.png
common	常见	https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8b/Chitty%27s_Common_-_geograph.org.uk_-_2481873.jpg/250px-Chitty%27s_Common_-_geograph.org.uk_-_2481873.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts4.mm.bing.net/th?id=OIP.smKFx7p1KsXiWn4OgbpsmAAAAA&pid=15.1
communicate	沟通	https://thumb.wikimedia.org/wikipedia/commons/thumb/9/99/Stephen_Avenue_3.jpg/250px-Stephen_Avenue_3.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/9186/9186482.png
communication	沟通	https://thumb.wikimedia.org/wikipedia/commons/thumb/9/99/Stephen_Avenue_3.jpg/250px-Stephen_Avenue_3.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/9186/9186482.png
communications	沟通	https://thumb.wikimedia.org/wikipedia/commons/thumb/9/99/Stephen_Avenue_3.jpg/250px-Stephen_Avenue_3.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail	https://ts3.mm.bing.net/th?id=OIP.WHpoyYuXhDOHWjuFTiAznwAAAA&pid=15.1
communities	社区	https://thumb.wikimedia.org/wikipedia/commons/thumb/6/68/Historic_Regions_and_Autonomous_Communities_of_Spain.png/250px-Historic_Regions_and_Autonomous_Communities_of_Spain.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts3.mm.bing.net/th?id=OIP.TKdcjJ4PJv0y1Y5W-lUaAwAAAA&pid=15.1
community	社区	https://thumb.wikimedia.org/wikipedia/commons/thumb/f/ff/Community_TV_Flag.png/250px-Community_TV_Flag.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts4.mm.bing.net/th?id=OIP.XbB4C-IKKw9oeNMpzrKi6AAAAA&pid=15.1
company	公司	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ed/Nokia_office_building_in_Hervanta_Tampere_1.jpg/250px-Nokia_office_building_in_Hervanta_Tampere_1.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail	https://ts2.mm.bing.net/th?id=OIP.6SO2AMVQBbbGuLPr8iz0LgAAAA&pid=15.1
compare	比较	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e7/An_anxious_man_comparing_his_own_head_to_a_skull%2C_using_the_Wellcome_V0009466_%28cropped%29.jpg/250px-An_anxious_man_comparing_his_own_head_to_a_skull%2C_using_the_Wellcome_V0009466_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail	https://ts1.mm.bing.net/th?id=OIP.gX5qoMwFSNnl4zY0Mq6WnQAAAA&pid=15.1
compared	已比较	https://upload.wikimedia.org/wikipedia/commons/1/11/Sonnenfleck.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	https://ts1.mm.bing.net/th?id=OIP.gX5qoMwFSNnl4zY0Mq6WnQAAAA&pid=15.1
compares	比较	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e8/Newtons_cradle_animation_book.gif/250px-Newtons_cradle_animation_book.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts3.mm.bing.net/th?id=OIP.Q6V_thRXw6ZhdR5BUIWjjAAAAA&pid=15.1
comparison	比较	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e7/An_anxious_man_comparing_his_own_head_to_a_skull%2C_using_the_Wellcome_V0009466_%28cropped%29.jpg/250px-An_anxious_man_comparing_his_own_head_to_a_skull%2C_using_the_Wellcome_V0009466_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail	https://ts1.mm.bing.net/th?id=OIP.gX5qoMwFSNnl4zY0Mq6WnQAAAA&pid=15.1
compatible	兼容	https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1a/Soviet_made_personal_computer_EC-1849_with_Intel_80286_compatible_CPU.JPG/250px-Soviet_made_personal_computer_EC-1849_with_Intel_80286_compatible_CPU.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/8488/8488843.png
compensation	薪酬	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e1/Compensation_mushroom.png/250px-Compensation_mushroom.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts3.mm.bing.net/th?id=OIP.VWuoNSaLOlMZDmGCxuL0QgAAAA&pid=15.1
complain	抱怨	https://thumb.wikimedia.org/wikipedia/commons/thumb/8/83/Support_oppose_neutral_complain_and_suggest_%28Chinese%29.png/250px-Support_oppose_neutral_complain_and_suggest_%28Chinese%29.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts3.mm.bing.net/th?id=OIP.HaO2R0r98s8_MNC3-P-9TwAAAA&pid=15.1
complete	完成	https://upload.wikimedia.org/wikipedia/commons/8/87/Complete_Image.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	https://cdn-icons-png.flaticon.com/128/17873/17873020.png
completes	完成	https://thumb.wikimedia.org/wikipedia/commons/thumb/8/89/Scilla_litardierei0.jpg/250px-Scilla_litardierei0.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/2747/2747743.png
completion	完成	https://thumb.wikimedia.org/wikipedia/commons/thumb/7/73/Riverside_flats_nearing_completion_-_geograph.org.uk_-_1314121.jpg/250px-Riverside_flats_nearing_completion_-_geograph.org.uk_-_1314121.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/9757/9757455.png
complex	复杂	https://thumb.wikimedia.org/wikipedia/commons/thumb/0/07/Protein_Complex.jpg/250px-Protein_Complex.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://images.icon-icons.com/4183/PNG/96/labyrinth_maze_puzzle_complexity_solution_complex_icon_262287.png
compliance	合规	https://thumb.wikimedia.org/wikipedia/commons/thumb/9/93/Compliance_physio.png/250px-Compliance_physio.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/17053/17053869.png
compliant	合规	https://thumb.wikimedia.org/wikipedia/commons/thumb/0/02/General_Norton_Schwartz%2C_is_shown_a_garden_cultivated_by_privileged_compliant_captives_in_Camp_four.jpg/250px-General_Norton_Schwartz%2C_is_shown_a_garden_cultivated_by_privileged_compliant_captives_in_Camp_four.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/17053/17053869.png
complicate	复杂化	https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8c/Archie_andrewsedited.jpg/250px-Archie_andrewsedited.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts3.mm.bing.net/th?id=OIP.tWtOS-Fq4UGk2Gz2iVfWXgAAAA&pid=15.1
components	组件	https://thumb.wikimedia.org/wikipedia/commons/thumb/b/ba/Principal_components_analysis_of_major_central_cluster_of_Jewish_populations.png/250px-Principal_components_analysis_of_major_central_cluster_of_Jewish_populations.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/917/917716.png
computation	计算	https://upload.wikimedia.org/wikipedia/commons/6/63/Computation_%281%29.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	https://ts2.mm.bing.net/th?id=OIP.SFVU2Dy55AeVD5oQMPmxLQAAAA&pid=15.1
compute	计算	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e5/ENIAC-changing_a_tube.jpg/250px-ENIAC-changing_a_tube.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/1285/1285352.png
computing	计算	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e5/ENIAC-changing_a_tube.jpg/250px-ENIAC-changing_a_tube.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/2345/2345386.png
concepts	概念	https://thumb.wikimedia.org/wikipedia/commons/thumb/8/86/Computer_Concepts_Impression_Dongle_%28bottom%29.jpg/250px-Computer_Concepts_Impression_Dongle_%28bottom%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://cdn-icons-png.flaticon.com/128/4838/4838632.png
concise	简洁	https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6b/A_Concise_History_of_the_U.S._Air_Force_Page_17-1.jpg/250px-A_Concise_History_of_the_U.S._Air_Force_Page_17-1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://ts2.mm.bing.net/th?id=OIP.LKDt7tSDGn5m9VxsDloxsgAAAA&pid=15.1
