word	zh	image
prompts	提示	https://upload.wikimedia.org/wikipedia/commons/b/b8/Prompt.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
proof	证明	https://thumb.wikimedia.org/wikipedia/commons/thumb/6/60/Newtons_proof_of_Keplers_second_law.gif/250px-Newtons_proof_of_Keplers_second_law.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
propagate	传播	https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9d/OsiriX_Propagate.jpg/250px-OsiriX_Propagate.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
propagation	传播	https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6f/VOACAP_HF_propagation_prediction.jpeg/250px-VOACAP_HF_propagation_prediction.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
proper	适当	https://thumb.wikimedia.org/wikipedia/commons/thumb/7/77/Emblem_of_the_historical_province_of_Finland_Proper..png/250px-Emblem_of_the_historical_province_of_Finland_Proper..png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
proposals	提案	
proposes	提出	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e2/Mack_Bernard_proposes_a_question_regarding_a_proposed_measure_introduced_on_the_House.png/250px-Mack_Bernard_proposes_a_question_regarding_a_proposed_measure_introduced_on_the_House.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
protect	保护	https://thumb.wikimedia.org/wikipedia/commons/thumb/1/19/Chinese_stone_lion_at_the_entrance_to_the_Potala_Pallace.jpg/250px-Chinese_stone_lion_at_the_entrance_to_the_Potala_Pallace.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
protection	保护	https://thumb.wikimedia.org/wikipedia/commons/thumb/2/29/KSMap-doton-Protection.png/250px-KSMap-doton-Protection.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
protects	保护	https://thumb.wikimedia.org/wikipedia/commons/thumb/1/19/Chinese_stone_lion_at_the_entrance_to_the_Potala_Pallace.jpg/250px-Chinese_stone_lion_at_the_entrance_to_the_Potala_Pallace.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
protocols	协议	https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b3/Protocols_KL08.jpg/250px-Protocols_KL08.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
prototype	原型	https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4c/A_prototype_wet_chemistry_beaker.jpg/250px-A_prototype_wet_chemistry_beaker.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
prototypes	原型	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ef/Smart_Prototypes_2016.jpg/250px-Smart_Prototypes_2016.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
prove	证明	https://upload.wikimedia.org/wikipedia/commons/a/a2/ProveIt.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
proven	已证明	https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cf/Proven_6_Kw_15M_Turbine_at_Skeffling_Village_Hall_-_geograph.org.uk_-_344074.jpg/250px-Proven_6_Kw_15M_Turbine_at_Skeffling_Village_Hall_-_geograph.org.uk_-_344074.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
provide	提供	https://thumb.wikimedia.org/wikipedia/commons/thumb/3/35/Operation_Provide_Relief.Rules_of_Engagement.jpg/250px-Operation_Provide_Relief.Rules_of_Engagement.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
provider	提供方	
providers	提供方	https://upload.wikimedia.org/wikipedia/commons/a/a8/UK_tv_pay_vs_free_providers_q2_2009.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
proxy	代理	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e1/Proxy_Pendant.png/250px-Proxy_Pendant.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
psychological	心理	https://thumb.wikimedia.org/wikipedia/commons/thumb/0/03/Taichung_County_Mental_Health_Center_20070613.jpg/250px-Taichung_County_Mental_Health_Center_20070613.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
